Load (KN)	XHd Pos. (mm)	Time (sec.)
0.000260	0.000000	0.000000
0.000400	0.000000	0.040000
0.000400	0.000000	0.081000
0.000400	0.000000	0.120000
0.000400	0.000000	0.160000
0.000400	0.000000	0.200000
0.000260	0.000000	0.247000
0.000400	0.000000	0.302000
0.000400	0.000000	0.352000
0.000260	0.000000	0.402000
0.000400	0.000000	0.453000
0.000400	0.000000	0.505000
0.000260	0.000000	0.556000
0.000400	0.000000	0.606000
0.000400	0.000000	0.652000
0.000400	0.000000	0.707000
0.000400	-0.010000	0.771000
0.000260	-0.010000	0.833000
0.000260	-0.020000	0.909000
0.000260	-0.030000	0.968000
0.000130	-0.030000	1.029000
0.000400	-0.030000	1.098000
0.000260	-0.040000	1.161000
0.000400	-0.050000	1.229000
0.000260	-0.050000	1.289000
0.000260	-0.050000	1.352000
0.000400	-0.060000	1.418000
0.000260	-0.070000	1.479000
0.000260	-0.070000	1.541000
0.000130	-0.080000	1.609000
0.000130	-0.080000	1.668000
0.000260	-0.090000	1.729000
0.000130	-0.090000	1.798000
0.000000	-0.100000	1.859000
0.000130	-0.100000	1.911000
0.000000	-0.110000	1.980000
0.000130	-0.110000	2.041000
0.000000	-0.120000	2.102000
0.000130	-0.130000	2.161000
0.000000	-0.130000	2.222000
0.000000	-0.130000	2.280000
0.000000	-0.140000	2.339000
0.000000	-0.140000	2.392000
-0.000540	-0.150000	2.449000
-0.000810	-0.150000	2.513000
-0.001750	-0.160000	2.573000
-0.002150	-0.160000	2.632000
-0.002690	-0.170000	2.703000
-0.002820	-0.180000	2.770000
-0.003760	-0.180000	2.831000
-0.004300	-0.180000	2.899000
-0.004840	-0.190000	2.959000
-0.005640	-0.200000	3.023000
-0.006050	-0.200000	3.083000
-0.006310	-0.200000	3.153000
-0.006850	-0.210000	3.221000
-0.007120	-0.220000	3.282000
-0.005640	-0.220000	3.340000
-0.006580	-0.230000	3.409000
-0.006580	-0.230000	3.470000
-0.007390	-0.240000	3.529000
-0.006050	-0.240000	3.599000
-0.006850	-0.250000	3.659000
-0.006580	-0.250000	3.719000
-0.007390	-0.260000	3.783000
-0.007120	-0.260000	3.853000
-0.007790	-0.270000	3.920000
-0.011950	-0.280000	3.981000
-0.014100	-0.280000	4.043000
-0.016250	-0.290000	4.110000
-0.022020	-0.290000	4.168000
-0.025110	-0.300000	4.239000
-0.028860	-0.300000	4.309000
-0.032620	-0.310000	4.363000
-0.039870	-0.310000	4.422000
-0.042690	-0.320000	4.491000
-0.043900	-0.320000	4.560000
-0.044030	-0.330000	4.613000
-0.044170	-0.330000	4.683000
-0.044030	-0.340000	4.743000
-0.044030	-0.340000	4.803000
-0.044170	-0.350000	4.869000
-0.044170	-0.350000	4.933000
-0.044300	-0.360000	5.008000
-0.044170	-0.370000	5.061000
-0.044030	-0.370000	5.121000
-0.044300	-0.380000	5.189000
-0.044300	-0.380000	5.249000
-0.044030	-0.390000	5.312000
-0.044170	-0.390000	5.380000
-0.044300	-0.400000	5.441000
-0.044300	-0.400000	5.502000
-0.044030	-0.410000	5.569000
-0.044170	-0.410000	5.628000
-0.044170	-0.420000	5.689000
-0.044300	-0.420000	5.758000
-0.044170	-0.430000	5.813000
-0.044300	-0.430000	5.873000
-0.044300	-0.440000	5.941000
-0.044300	-0.440000	6.002000
-0.044170	-0.450000	6.059000
-0.047660	-0.450000	6.128000
-0.053560	-0.460000	6.189000
-0.060410	-0.460000	6.243000
-0.066450	-0.470000	6.313000
-0.080000	-0.480000	6.389000
-0.087250	-0.480000	6.460000
-0.094370	-0.490000	6.521000
-0.110100	-0.490000	6.583000
-0.118700	-0.500000	6.659000
-0.127400	-0.500000	6.723000
-0.144800	-0.510000	6.791000
-0.154000	-0.510000	6.863000
-0.163100	-0.520000	6.922000
-0.181500	-0.530000	6.993000
-0.190700	-0.530000	7.061000
-0.200400	-0.540000	7.130000
-0.219500	-0.540000	7.201000
-0.229100	-0.550000	7.263000
-0.249300	-0.550000	7.329000
-0.260100	-0.560000	7.399000
-0.270100	-0.570000	7.471000
-0.292100	-0.570000	7.541000
-0.302800	-0.580000	7.602000
-0.313300	-0.580000	7.669000
-0.334100	-0.590000	7.739000
-0.344800	-0.590000	7.809000
-0.355200	-0.600000	7.871000
-0.376500	-0.600000	7.941000
-0.387000	-0.610000	8.003000
-0.398400	-0.620000	8.073000
-0.419700	-0.620000	8.139000
-0.431200	-0.630000	8.209000
-0.442700	-0.630000	8.279000
-0.465800	-0.640000	8.341000
-0.477700	-0.640000	8.403000
-0.489400	-0.650000	8.472000
-0.513600	-0.650000	8.543000
-0.524000	-0.660000	8.613000
-0.546600	-0.670000	8.673000
-0.558400	-0.670000	8.741000
-0.569700	-0.680000	8.812000
-0.581500	-0.680000	8.880000
-0.603800	-0.690000	8.941000
-0.615600	-0.700000	9.012000
-0.638100	-0.700000	9.079000
-0.650200	-0.700000	9.149000
-0.662300	-0.710000	9.212000
-0.673800	-0.720000	9.283000
-0.698300	-0.720000	9.351000
-0.709800	-0.730000	9.413000
-0.732100	-0.730000	9.479000
-0.742800	-0.740000	9.549000
-0.754900	-0.750000	9.619000
-0.776700	-0.750000	9.691000
-0.788200	-0.750000	9.752000
-0.799500	-0.760000	9.813000
-0.822600	-0.770000	9.889000
-0.834400	-0.770000	9.959000
-0.846700	-0.780000	10.021000
-0.870900	-0.780000	10.091000
-0.883200	-0.790000	10.153000
-0.894500	-0.800000	10.223000
-0.918400	-0.800000	10.289000
-0.929900	-0.800000	10.360000
-0.941200	-0.810000	10.431000
-0.020940	-0.820000	10.493000
0.009120	-0.820000	10.550000
-0.003490	-0.820000	10.603000
-0.001350	-0.820000	10.661000
-0.001080	-0.820000	10.729000
-0.001080	-0.820000	10.783000
-0.000810	-0.820000	10.833000
-0.000810	-0.820000	10.881000
-0.000540	-0.820000	10.933000
-0.000540	-0.820000	10.981000
-0.000270	-0.820000	11.033000
-0.000540	-0.820000	11.081000
-0.000270	-0.820000	11.138000
0.000000	-0.820000	11.182000
-0.000540	-0.820000	11.229000
-0.000270	-0.820000	11.272000
0.000000	-0.820000	11.329000
-0.000270	-0.820000	11.371000
0.000000	-0.820000	11.419000
0.000000	-0.820000	11.468000
0.000000	-0.820000	11.508000
0.000130	-0.820000	11.550000
0.000000	-0.820000	11.619000
0.000130	-0.820000	11.668000
0.000000	-0.820000	11.712000
0.000000	-0.820000	11.760000
0.000260	-0.820000	11.802000
0.000130	-0.820000	11.859000
0.000000	-0.820000	11.929000
0.000260	-0.820000	11.968000
0.000130	-0.820000	12.022000
0.000130	-0.820000	12.070000
0.000130	-0.820000	12.119000
0.000260	-0.820000	12.163000
0.000000	-0.820000	12.221000
0.000260	-0.820000	12.260000
0.000130	-0.820000	12.311000
0.000130	-0.820000	12.359000
0.000260	-0.820000	12.411000
0.000130	-0.820000	12.460000
0.000260	-0.820000	12.508000
0.000130	-0.820000	12.561000
0.000130	-0.820000	12.610000
0.000260	-0.820000	12.659000
0.000130	-0.820000	12.732000
0.000260	-0.820000	12.780000
0.000260	-0.820000	12.829000
